deal_id,credit_quality,vintage,issuer,n_obs,breach_rate,pred_prob,avg_cushion,avg_trend3m
AmeriCredit Auto Receivables Trust 2021-2,Subprime,2021,AmeriCredit,30,0.2,0.20127293491178874,0.3080833333333333,0.0011566666666666468
AmeriCredit Auto Receivables Trust 2022-2,Subprime,2022,AmeriCredit,31,0.0967741935483871,0.04698819997664514,0.43383512544802866,0.0015032258064516032
AmeriCredit Auto Receivables Trust 2021-1,Subprime,2021,AmeriCredit,23,0.0,0.022137764287159384,0.43782608695652175,0.0010608695652173782
AmeriCredit Auto Receivables Trust 2022-1,Subprime,2022,AmeriCredit,31,0.0,0.010435547550764401,0.5086021505376344,0.0012161290322580517
Drive Auto Receivables Trust 2021-3,Subprime,2021,Drive Auto,31,0.0,0.009644194859747353,0.6759539170506912,0.0046548387096774025
Drive Auto Receivables Trust 2020-1,Subprime,2020,Drive Auto,10,0.0,0.0030307774840692297,0.7824571428571429,0.00129999999999998
AmeriCredit Auto Receivables Trust 2023-1,Subprime,2023,AmeriCredit,29,0.0,0.002732284321888675,0.6369655172413794,0.0024241379310344655
Santander Drive Auto Receivables Trust 2022-4,Subprime,2022,Santander Drive,31,0.0,0.0026190062299188,0.6814112903225805,0.00400322580645159
Drive Auto Receivables Trust 2021-1,Subprime,2021,Drive Auto,22,0.0,0.0024034849218173083,0.7525974025974026,0.0031727272727272594
Santander Drive Auto Receivables Trust 2023-2,Subprime,2023,Santander Drive,27,0.0,0.001451590327258328,0.7503395061728395,0.00964444444444443
Santander Drive Auto Receivables Trust 2022-1,Subprime,2022,Santander Drive,27,0.0,0.0014213642470182089,0.701141975308642,0.0030851851851851665
Santander Drive Auto Receivables Trust 2021-1,Subprime,2021,Santander Drive,29,0.0,0.0012213762365182435,0.7194683908045977,0.003282758620689641
Santander Drive Auto Receivables Trust 2024-2,Subprime,2024,Santander Drive,16,0.0,0.0007865369001257398,0.805546875,0.01230624999999998
Santander Drive Auto Receivables Trust 2023-1,Subprime,2023,Santander Drive,31,0.0,0.000727455979427487,0.7399193548387096,0.00877419354838707
Santander Drive Auto Receivables Trust 2024-3,Subprime,2024,Santander Drive,14,0.0,0.0001945723719080633,0.8201488095238095,0.012878571428571408
Drive Auto Receivables Trust 2024-2,Subprime,2024,Drive Auto,11,0.0,0.00016411821515445872,0.8507012987012987,0.02051818181818179
Toyota Auto Receivables 2022-A Owner Trust,Prime,2022,Toyota,31,0.0,2.9256274322540055e-05,0.8826916406520985,0.0002516129032257968
Toyota Auto Receivables 2022-B Owner Trust,Prime,2022,Toyota,31,0.0,2.320840353830159e-05,0.8858133888310787,0.0003580645161290258
Toyota Auto Receivables 2021-B Owner Trust,Prime,2021,Toyota,24,0.0,2.0338204286416807e-05,0.8868279569892473,0.0004291666666666458
Toyota Auto Receivables 2021-A Owner Trust,Prime,2021,Toyota,19,0.0,2.029381317837609e-05,0.9026598754951897,0.0004421052631578895
Hyundai Auto Receivables Trust 2021-A,Prime,2021,Hyundai,25,0.0,1.7511741514994313e-05,0.958625,1.5999999999988e-05
Toyota Auto Receivables 2022-D Owner Trust,Prime,2022,Toyota,31,0.0,1.66797209301969e-05,0.9073881373569199,0.00035806451612901616
Honda Auto Receivables Owner Trust 2021-2,Prime,2021,Honda,17,0.0,1.5675523718574643e-05,0.9667892156862746,-8.235294117647646e-05
Hyundai Auto Receivables Trust 2022-A,Prime,2022,Hyundai,31,0.0,1.5018832750007561e-05,0.9633064516129033,1.2903225806448392e-05
Toyota Auto Receivables 2023-A Owner Trust,Prime,2023,Toyota,31,0.0,1.2431094483870197e-05,0.9143253555324314,0.0004258064516128903
Hyundai Auto Receivables Trust 2024-B,Prime,2024,Hyundai,13,0.0,1.0594252557425315e-05,0.9735576923076923,0.00036153846153844614
Honda Auto Receivables Owner Trust 2022-1,Prime,2022,Honda,26,0.0,1.0288828815106777e-05,0.9699519230769231,5.7692307692299986e-05
Honda Auto Receivables Owner Trust 2022-2,Prime,2022,Honda,33,0.0,1.0215775826439884e-05,0.9686868686868686,5.1515151515145466e-05
Honda Auto Receivables Owner Trust 2021-1,Prime,2021,Honda,15,0.0,9.801368667418147e-06,0.9674999999999999,4.666666666665999e-05
Toyota Auto Receivables 2024-C Owner Trust,Prime,2024,Toyota,13,0.0,9.199601184045462e-06,0.9477855477855479,0.0005461538461538231
Honda Auto Receivables Owner Trust 2024-2,Prime,2024,Honda,15,0.0,7.071955467526447e-06,0.9683333333333334,0.00023333333333331997
Honda Auto Receivables Owner Trust 2024-3,Prime,2024,Honda,12,0.0,6.697823027206433e-06,0.9708333333333333,0.0002749999999999833
Hyundai Auto Receivables Trust 2024-A,Prime,2024,Hyundai,17,0.0,6.674525527333962e-06,0.9751838235294118,0.00032941176470584703
Toyota Auto Receivables 2024-D Owner Trust,Prime,2024,Toyota,10,0.0,5.958052527355805e-06,0.9583838383838383,0.00059999999999996
Nissan Auto Receivables Owner Trust 2024-B,Prime,2024,Nissan,10,0.0,4.464738634059912e-06,0.9824489795918367,0.00040999999999998
